"","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_."
"692",1,2019,10,4,3618,0,282883169,21,86,80,56,19,46,92,72,11,3
"693",2,2022,2,4,1040,0,64787943,8,0,117,92,62,86,11,0,24,24
"694",2,2019,6,19,15010,2,2484812918,453,50,117,76,77,52,4,0,8,3
"695",2,2019,5,16,4708,0,461437791,13,7,140,62,46,73,10,0,67,11
"696",1,2019,12,6,13454,1,1439191367,246,71,99,68,57,77,2,0,10,5
"697",2,2020,2,29,4890,20,759208783,52,42,93,74,59,87,3,0,8,5
"698",1,1991,9,24,9514,0,368646862,45,27,106,44,8,20,74,42,11,3
"699",2,2022,3,11,3501,0,299634472,69,2,124,81,68,63,17,0,10,22
"700",2,2022,3,4,6111,4,756907987,185,40,95,76,96,70,18,0,33,4
"701",1,2022,1,21,5415,32,682475162,46,16,96,87,82,53,10,0,5,8
"702",1,2021,11,11,4673,2,546191065,123,113,92,81,40,73,15,0,9,8
"703",1,2022,3,3,1856,3,229473310,29,40,124,95,36,37,35,0,10,28
"704",1,2022,3,3,200,2,202677468,12,4,72,64,76,44,70,9,12,4
"705",1,2022,2,4,1888,0,121913181,26,1,71,28,26,20,19,0,30,3
"706",2,2022,2,1,911,2,208166039,45,0,135,78,55,57,4,0,10,8
"707",1,2004,5,4,2954,2,527033089,18,82,95,81,56,70,4,0,5,24
"708",2,2022,3,3,461,0,94616487,7,11,71,59,70,74,56,0,11,40
"709",1,2021,4,30,2844,2,394030335,29,2,180,80,71,68,6,0,10,37
"710",1,2022,2,18,2939,0,193443895,42,0,150,65,11,58,0,0,12,9
"711",1,2022,2,18,695,11,299648208,16,41,189,55,86,44,40,0,7,4
"712",1,2022,2,15,328,0,182978249,10,21,85,72,55,64,49,0,7,4
"713",1,2022,2,18,866,16,319757142,27,84,140,59,73,45,44,0,34,3
"714",2,2013,7,16,1550,0,109091573,0,0,81,77,68,70,6,0,17,20
