"","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_."
"313",1,2023,3,29,596,0,67070410,29,9,100,72,42,66,18,4,19,4
"75",2,2022,7,6,8506,45,1356565093,94,65,128,62,55,78,1,3,23,4
"270",2,2023,4,21,1169,0,96180277,36,65,119,60,10,57,1,0,50,3
"57",1,2023,2,24,2649,42,256483385,67,79,137,64,88,72,51,0,17,5
"437",2,2022,3,14,7758,28,462791599,173,79,125,84,70,69,1,0,5,5
"295",2,2023,2,2,200,4,90025258,8,77,123,70,86,68,24,0,11,4
"288",1,2023,3,17,340,13,168448603,4,71,132,59,56,82,12,0,12,6
"58",1,2022,5,26,6804,45,1214083358,139,111,125,84,85,68,58,0,22,4
"425",1,1985,9,16,21811,0,1024858327,117,1,108,63,20,55,72,0,6,6
"478",1,2000,11,7,6952,0,261116938,115,53,147,67,69,72,17,0,19,3
"96",2,2023,5,12,2175,23,144565150,69,145,143,83,69,44,15,0,10,33
"389",1,2022,9,22,2616,0,332506354,113,17,142,64,31,72,15,0,9,5
"242",1,2023,2,14,1240,24,217672943,51,29,120,91,63,58,52,0,31,22
"348",2,2023,3,3,329,0,58890931,14,35,148,50,49,76,12,0,12,3
"183",1,1992,9,21,36724,7,1271293243,146,72,92,53,12,34,1,0,12,4
"76",1,2008,1,1,33898,62,1592909789,233,0,138,49,42,62,9,0,11,3
"329",5,2022,12,15,1845,16,223582566,20,8,95,77,72,87,17,0,7,5
"182",2,2023,1,13,592,14,307370144,11,84,98,70,37,54,6,0,9,8
"213",2,2023,6,2,185,3,43522589,5,6,98,73,45,62,28,0,13,13
"319",1,2022,10,26,542,2,156214700,23,2,110,81,64,79,5,0,31,3
"148",1,2004,1,1,20015,16,1089402494,107,69,172,45,33,59,6,0,8,3
"283",1,2022,11,4,1985,35,381161027,34,26,92,75,55,76,25,0,10,15
"44",3,2017,7,21,13387,64,1047101291,77,58,79,56,58,56,37,0,11,10
"392",1,2016,9,27,482,0,122763672,9,1,135,92,73,51,55,0,15,6
"156",3,2023,4,4,561,14,142095275,4,14,192,50,85,52,11,0,28,6
"372",1,2020,2,19,8084,6,698086140,45,115,109,66,16,57,10,1,12,3
"462",1,1979,11,16,1685,0,403939487,1,0,95,75,74,58,36,0,9,3
"349",1,2023,3,3,1168,0,81419389,45,11,98,70,29,73,12,0,11,26
"274",2,2023,2,3,356,10,147290338,4,64,182,57,80,59,8,0,6,5
"362",2,2022,6,3,5281,14,609293408,94,21,101,74,43,69,12,0,12,7
"40",1,2023,5,19,584,28,176553476,16,159,125,79,96,85,27,0,11,6
"118",2,2023,2,8,893,38,248088961,19,23,120,84,96,71,18,0,34,17
"97",1,2023,3,17,2000,46,127567540,49,105,100,49,17,35,71,9,11,3
"31",1,2023,7,13,864,78,22581161,71,135,126,74,35,84,0,0,11,6
"263",1,2022,4,8,3242,9,293186992,67,55,148,51,27,33,48,0,22,3
"296",2,2021,12,3,3741,17,652704649,156,35,131,77,84,71,35,0,15,4
"380",1,2023,3,3,166,0,32526947,2,10,125,53,32,66,38,0,9,3
"237",2,2023,5,19,896,0,57089066,34,2,126,78,20,70,1,0,16,4
"43",2,2022,8,26,12482,80,1109433169,291,184,128,56,38,97,4,0,35,4
"379",2,2021,9,24,6127,13,1061966512,0,0,105,58,42,68,1,0,14,4
"219",2,2023,5,26,588,0,46142772,23,21,90,62,7,62,6,0,58,6
"312",1,2022,4,22,3282,12,449701773,67,84,110,59,22,38,42,0,12,3
"273",2,2023,4,14,1444,4,104992946,0,0,148,90,74,68,14,0,10,19
"224",2,2023,5,26,359,2,60350538,1,0,110,66,32,40,81,0,11,3
"302",2,2023,3,22,654,3,100409613,11,3,124,72,79,78,55,0,15,30
"135",1,2007,4,20,13985,25,1217120710,30,80,140,52,20,85,0,0,7,5
"190",1,2013,9,13,23804,31,2135158446,187,99,129,57,41,66,63,0,12,5
"51",3,2023,6,2,1298,38,107753850,44,64,106,72,17,64,7,0,10,5
"180",1,2017,1,6,32181,10,3562543890,33,0,96,83,93,65,58,0,9,8
"354",1,2011,1,1,3909,0,372476382,66,26,100,59,49,65,2,0,13,3
"322",2,2022,11,13,2418,26,294352144,52,66,115,95,43,69,47,0,9,31
"117",1,2023,2,25,2988,59,201660859,74,102,150,55,30,78,24,0,12,8
"228",1,2022,7,8,2461,36,459276435,47,66,170,71,59,56,4,0,27,12
"79",2,2022,12,20,3618,38,585695368,47,74,168,78,58,73,5,0,10,7
"82",2,2022,4,22,2790,30,600976848,60,96,101,34,32,57,78,0,20,3
"172",3,2023,6,2,727,16,94186466,17,60,90,60,13,53,4,0,21,4
"170",1,2012,12,5,2420,11,1661187319,0,0,145,60,43,27,94,0,14,4
"455",1,1963,11,22,10114,0,404664135,114,74,92,53,84,77,40,0,32,3
